iinStart,iinEnd,type,subType
341142,,amex,credit
342562,,amex,credit
360218,,diners,credit
360324,,diners,credit
361766,,diners,credit
370245,,amex,credit
370266,,amex,credit
371240,,amex,credit
371241,371242,amex,credit
371270,,amex,credit
371312,,amex,credit
371318,,amex,credit
371331,,amex,credit
371340,,amex,credit
371348,,amex,credit
371380,,amex,credit
371389,,amex,credit
371403,,amex,credit
371512,,amex,credit
371515,,amex,credit
371525,,amex,credit
371530,,amex,credit
371537,,amex,credit
371538,,amex,credit
371543,,amex,credit
371549,,amex,credit
371553,371554,amex,credit
371556,371557,amex,credit
371559,,amex,credit
371560,,amex,credit
371566,,amex,credit
371567,,amex,credit
371571,,amex,credit
371576,,amex,credit
371700,,amex,credit
371701,,amex,credit
371702,,amex,credit
371704,,amex,credit
371706,,amex,credit
371708,,amex,credit
371725,,amex,credit
371726,,amex,credit
371727,,amex,credit
371736,,amex,credit
371737,,amex,credit
371741,,amex,credit
371746,,amex,credit
371754,,amex,credit
371758,,amex,credit
371782,,amex,credit
371826,,amex,credit
371867,,amex,credit
372077,,amex,credit
372170,,amex,credit
372312,,amex,credit
372321,,amex,credit
372341,,amex,credit
372342,,amex,credit
372358,,amex,credit
372379,,amex,credit
372392,,amex,credit
372395,,amex,credit
372397,,amex,credit
372408,,amex,credit
372448,,amex,credit
372523,,amex,credit
372525,,amex,credit
372527,,amex,credit
372528,372529,amex,credit
372532,,amex,credit
372533,372534,amex,credit
372557,,amex,credit
372559,,amex,credit
372583,,amex,credit
372584,,amex,credit
372588,,amex,credit
372589,,amex,credit
372658,,amex,credit
372684,,amex,credit
372715,,amex,credit
372720,,amex,credit
372725,,amex,credit
372738,,amex,credit
372741,,amex,credit
372760,,amex,credit
372794,,amex,credit
372813,,amex,credit
372816,,amex,credit
372837,,amex,credit
372878,,amex,credit
372890,,amex,credit
372898,,amex,credit
373039,,amex,credit
373128,,amex,credit
373137,,amex,credit
373190,,amex,credit
373216,,amex,credit
373278,,amex,credit
373320,,amex,credit
373391,,amex,credit
373394,,amex,credit
373470,,amex,credit
373497,,amex,credit
373498,,amex,credit
373728,,amex,credit
373735,,amex,credit
373737,,amex,credit
374188,,amex,credit
374322,,amex,credit
374350,,amex,credit
374355,,amex,credit
374391,,amex,credit
374424,,amex,credit
374614,,amex,credit
374629,,amex,credit
374632,,amex,credit
374716,,amex,credit
374720,,amex,credit
375001,,amex,credit
375080,,amex,credit
375081,,amex,credit
375135,,amex,credit
375138,,amex,credit
375415,,amex,credit
375417,,amex,credit
375699,,amex,credit
376013,,amex,credit
376014,,amex,credit
376064,,amex,credit
376066,,amex,credit
376073,376074,amex,credit
376212,,amex,credit
376402,,amex,credit
376418,,amex,credit
376437,,amex,credit
376439,,amex,credit
376442,,amex,credit
376444,,amex,credit
376446,,amex,credit
376449,,amex,credit
376451,,amex,credit
376458,,amex,credit
376464,,amex,credit
376466,,amex,credit
376469,,amex,credit
376473,,amex,credit
376475,,amex,credit
376489,,amex,credit
376493,,amex,credit
376522,,amex,credit
376523,,amex,credit
376525,376526,amex,credit
376528,376529,amex,credit
376601,,amex,credit
376618,,amex,credit
376623,,amex,credit
376627,,amex,credit
376628,,amex,credit
376629,,amex,credit
376650,,amex,credit
376653,,amex,credit
376654,,amex,credit
376659,,amex,credit
376660,,amex,credit
376662,,amex,credit
376669,,amex,credit
376689,,amex,credit
376706,,amex,credit
376718,,amex,credit
376727,,amex,credit
376728,,amex,credit
376730,,amex,credit
376731,,amex,credit
376740,,amex,credit
376746,,amex,credit
376750,376751,amex,credit
376762,376764,amex,credit
376767,,amex,credit
376770,,amex,credit
376772,,amex,credit
376781,376782,amex,credit
376790,376791,amex,credit
376792,,amex,credit
376916,,amex,credit
376945,,amex,credit
377038,377039,amex,credit
377064,,amex,credit
377130,,amex,credit
377132,,amex,credit
377169,,amex,credit
377212,,amex,credit
377214,,amex,credit
377229,377230,amex,credit
377231,,amex,credit
377232,,amex,credit
377234,,amex,credit
377239,,amex,credit
377240,,amex,credit
377257,,amex,credit
377262,,amex,credit
377264,,amex,credit
377266,,amex,credit
377267,,amex,credit
377269,,amex,credit
377289,,amex,credit
377292,,amex,credit
377293,,amex,credit
377295,,amex,credit
377297,,amex,credit
377299,,amex,credit
377675,,amex,credit
377747,,amex,credit
377783,,amex,credit
377790,,amex,credit
377791,,amex,credit
377792,,amex,credit
377847,,amex,credit
377852,,amex,credit
378201,,amex,credit
378260,,amex,credit
378264,,amex,credit
378266,,amex,credit
378296,,amex,credit
378312,,amex,credit
378340,,amex,credit
378360,,amex,credit
378363,,amex,credit
378727,,amex,credit
378750,,amex,credit
379183,,amex,credit
379362,,amex,credit
379443,,amex,credit
379470,,amex,credit
379483,,amex,credit
379486,,amex,credit
379607,,amex,credit
379611,379612,amex,credit
379616,,amex,credit
379617,,amex,credit
379626,,amex,credit
379643,,amex,credit
379651,,amex,credit
379715,,amex,credit
379728,,amex,credit
379734,,amex,credit
379744,,amex,credit
400022,,visa,debit
400163,,visa,debit
400177,,visa,debit
400178,,visa,debit
400185,,visa,debit
400217,,visa,credit
400218,,visa,debit
400247,,visa,credit
400248,,visa,credit
400252,,visa,credit
400344,,visa,credit
400388,,visa,credit
400390,,visa,credit
400544,,visa,debit
400548,,visa,debit
400614,,visa,credit
400652,,visa,credit
400770,,visa,credit
400819,,visa,debit
400970,,visa,credit
400998,,visa,debit
401105,,visa,debit
401108,,visa,credit
401154,,visa,debit
401171,,visa,debit
401174,,visa,debit
401178,,visa,credit
401197,,visa,debit
401350,,visa,debit
401370,,visa,credit
401378,,visa,debit
401398,,visa,credit
401538,,visa,debit
401684,,visa,credit
401719,,visa,debit
401723,,visa,credit
401777,,visa,debit
401795,,visa,debit
401804,,visa,credit
401901,,visa,credit
401940,,visa,credit
401982,,visa,debit
402017,,visa,debit
402020,,visa,debit
402029,,visa,credit
402047,,visa,debit
402049,,visa,debit
402066,,visa,debit
402140,,visa,debit
402173,,visa,debit
402203,,visa,debit
402278,,visa,credit
402310,,visa,credit
402318,,visa,credit
402360,,visa,debit
402367,,visa,debit
402396,,visa,credit
402400,,visa,credit
402411,,visa,credit
402464,,visa,debit
402506,,visa,credit
402582,,visa,credit
402590,,visa,credit
402650,,visa,credit
402707,,visa,credit
402766,,visa,debit
402814,,visa,credit
402826,,visa,credit
402918,,visa,credit
402944,,visa,debit
402988,,visa,credit
403003,,visa,credit
403116,,visa,credit
403121,,visa,debit
403142,,visa,debit
403149,,visa,credit
403160,,visa,debit
403164,,visa,debit
403213,,visa,credit
403216,,visa,credit
403217,,visa,credit
403225,,visa,credit
403240,,visa,debit
403247,,visa,credit
403254,,visa,credit
403265,,visa,credit
403283,,visa,debit
403284,,visa,debit
403357,,visa,debit
403461,,visa,debit
403486,,visa,debit
403490,,visa,debit
403493,,visa,debit
403495,,visa,debit
403497,,visa,debit
403541,,visa,credit
403623,,visa,debit
403647,,visa,credit
403655,,visa,debit
403690,,visa,credit
403710,,visa,debit
403766,,visa,credit
403769,,visa,credit
403784,,visa,credit
403808,,visa,debit
403995,,visa,debit
404206,,visa,debit
404215,,visa,debit
404280,,visa,credit
404308,,visa,credit
404360,,visa,credit
404389,,visa,debit
404507,,visa,credit
404594,,visa,debit
404601,,visa,credit
404658,,visa,credit
404673,,visa,credit
404688,,visa,debit
404834,,visa,debit
405071,,visa,credit
405221,,visa,credit
405306,,visa,credit
405345,,visa,debit
405385,,visa,debit
405425,,visa,debit
405428,,visa,debit
405433,,visa,debit
405494,,visa,debit
405533,,visa,credit
405610,,visa,debit
405771,,visa,credit
405818,,visa,debit
405902,,visa,debit
405919,,visa,debit
405921,,visa,credit
406001,,visa,debit
406019,,visa,debit
406021,,visa,debit
406032,,visa,debit
406041,,visa,credit
406042,,visa,debit
406043,,visa,debit
406045,,visa,debit
406049,,visa,debit
406050,,visa,debit
406053,,visa,debit
406068,,visa,debit
406076,,visa,credit
406080,,visa,credit
406095,,visa,credit
406130,,visa,credit
406168,,visa,credit
406228,,visa,debit
406315,,visa,debit
406498,,visa,credit
406655,,visa,credit
406669,,visa,credit
407050,,visa,credit
407057,,visa,debit
407110,,visa,credit
407166,,visa,credit
407204,,visa,debit
407220,,visa,credit
407221,,visa,credit
407284,,visa,debit
407303,,visa,credit
407433,,visa,credit
407458,,visa,credit
407505,,visa,credit
407714,,visa,debit
407715,,visa,debit
407807,,visa,debit
407871,,visa,credit
407892,,visa,credit
407928,,visa,debit
408104,,visa,debit
408106,,visa,debit
408161,,visa,credit
408185,,visa,debit
408244,408245,visa,credit
408328,,visa,debit
408490,,visa,credit
408530,,visa,debit
408540,,visa,debit
408577,,visa,debit
408597,,visa,credit
408620,,visa,credit
408687,,visa,debit
409015,,visa,credit
409070,,visa,credit
409153,,visa,debit
409259,,visa,debit
409263,,visa,credit
409308,,visa,credit
409311,,visa,debit
409483,,visa,credit
409486,,visa,debit
409531,,visa,debit
409600,,visa,credit
409601,,visa,credit
409602,,visa,credit
409603,,visa,credit
409609,,visa,debit
409636,,visa,debit
409666,,visa,credit
409675,,visa,credit
409851,,visa,debit
409912,,visa,credit
409970,,visa,credit
409982,,visa,debit
410063,410064,visa,credit
410118,,visa,debit
410131,,visa,debit
410180,,visa,credit
410181,,visa,credit
410280,410281,visa,credit
410368,,visa,credit
410489,,visa,debit
410505,,visa,credit
410626,,visa,credit
410651,,visa,debit
410687,,visa,debit
410791,,visa,credit
410839,,visa,debit
410843,,visa,debit
410852,,visa,credit
410863,,visa,credit
410894,,visa,debit
410970,,visa,credit
410998,,visa,credit
411016,,visa,credit
411079,,visa,debit
411097,,visa,credit
411399,,visa,debit
411507,,visa,credit
411583,,visa,credit
411770,411771,visa,debit
411773,411776,visa,debit
411777,,visa,debit
411816,,visa,credit
411904,,visa,credit
411911,,visa,credit
412025,,visa,debit
412039,,visa,credit
412042,,visa,debit
412061,,visa,credit
412134,,visa,credit
412141,,visa,debit
412174,,visa,credit
412177,,visa,credit
412185,,visa,credit
412187,,visa,credit
412345,,visa,credit
412451,,visa,debit
412453,,visa,debit
412541,,visa,credit
